DateTime,Entries,UniqueIPs
1512342156,2,2
1512717390,1,1
1512805313,2,2
1513070182,4,4
1513675965,1,1
1514227962,2,2
1514404124,3,3
1514623955,4,4
1514822205,3,3
1514998599,2,2
1515220528,1,1
1515507173,2,2
1516103816,2,2
1516699240,1,1
1518013006,2,2
1518079475,1,1
1518763362,0,0
1518830248,1,1
1518852288,2,2
1519449086,1,1
1519648467,2,2
1519726126,3,3
1519793057,2,2
1520510468,1,1
1520576659,2,2
1520862878,1,1
1521061722,2,2
1521194178,1,1
1521646822,0,0
1521803063,1,1
1522211998,0,0
1526332108,4,4
1526420442,5,5
1526552669,3,3
1526772610,2,2
1526992866,4,4
1527103224,2,2
1527278911,2,2
1527278911,2,2
1527278911,2,2
1527278911,2,2
1527300898,2,2
1527300898,2,2
1527300898,2,2
1527300898,2,2
1527300898,2,2
1527300898,2,2
1527300898,2,2
1527300898,2,2
1527300898,2,2
1527300898,2,2
1527300898,2,2
1527300898,2,2
1527300898,2,2
1527300898,2,2
1527300898,2,2
1527300898,2,2
1527322892,2,2
1527322892,2,2
1527322892,2,2
1527322892,2,2
1527322892,2,2
1527322892,2,2
1527322892,2,2
1527322892,2,2
1527322892,2,2
1527322892,2,2
1527344841,2,2
1527344841,2,2
1527344841,2,2
1527344841,2,2
1527344841,2,2
1527344841,2,2
1527344841,2,2
1527344841,2,2
1527344841,2,2
1527344841,2,2
1527344841,2,2
1527344841,2,2
1527366745,2,2
1527366745,2,2
1527366745,2,2
1527366745,2,2
1527366745,2,2
1527366745,2,2
1527366745,2,2
1527366745,2,2
1527366745,2,2
1527366745,2,2
1527366745,2,2
1527366745,2,2
1527366745,2,2
1527389394,2,2
1527389394,2,2
1527389394,2,2
1527389394,2,2
1527389394,2,2
1527389394,2,2
1527389394,2,2
1527389394,2,2
1527389394,2,2
1527895002,2,2
1527918675,2,2
1527918675,2,2
1527918675,2,2
1527918675,2,2
1527918675,2,2
1527918675,2,2
1527918675,2,2
1527918675,2,2
1527918675,2,2
1527918675,2,2
1527918675,2,2
1527918675,2,2
1527918675,2,2
1527918675,2,2
1527941457,2,2
1527941457,2,2
1527941457,2,2
1527941457,2,2
1527941457,2,2
1527941457,2,2
1527941457,2,2
1527941457,2,2
1527941457,2,2
1527941457,2,2
1527941457,2,2
1527941457,2,2
1527941457,2,2
1527941457,2,2
1527941457,2,2
1527963556,2,2
1527963556,2,2
1527963556,2,2
1527963556,2,2
1527963556,2,2
1527963556,2,2
1527963556,2,2
1527963556,2,2
1527963556,2,2
1527963556,2,2
1527963556,2,2
1527963556,2,2
1527963556,2,2
1527963556,2,2
1527985441,2,2
1527985441,2,2
1527985441,2,2
1527985441,2,2
1527985441,2,2
1527985441,2,2
1527985441,2,2
1527985441,2,2
1527985441,2,2
1527985441,2,2
1527985441,2,2
1527985441,2,2
1528095134,0,0
1528095134,0,0
1528095134,0,0
1528095134,0,0
1528095134,0,0
1528095134,0,0
1529420667,2,2
1529992349,0,0
1530039854,1,1
1530105866,2,2
1530427691,3,3
1530647441,2,2
1530713124,1,1
1530735155,2,2
1530801393,3,3
1531330810,2,2
1531374993,0,0
1531401882,1,1
1531523796,721,721
1531545875,44669,44669
1531744629,44670,44670
1531866268,8693,8693
1531888335,8690,8690
1531910214,8692,8692
1531932265,8691,8691
1531954119,8827,8827
1531976008,9151,9151
1531998284,9152,9152
1532020373,8794,8794
1532043073,8801,8801
1532064991,8797,8797
1532087081,8381,8381
1532109164,8289,8289
1532131234,8169,8169
1532153076,8170,8170
1532174939,8170,8170
1532196992,8313,8313
1532219071,8362,8362
1532240949,8368,8368
1532262982,7980,7980
1532284837,7960,7960
1532306923,7997,7997
1532329008,6468,6468
1532351077,6400,6400
1532373173,6333,6333
1532395119,6250,6250
1532417071,7328,7328
1532439159,7569,7569
1532461005,7631,7631
1532483308,8942,8942
1532505391,8945,8945
1532527302,9312,9312
1532549428,9313,9313
1532571388,8963,8963
1532593468,8742,8742
1532615692,9546,9546
1532637666,9627,9627
1532659704,9758,9758
1532681799,9936,9936
1532703872,9943,9943
1532725948,9945,9945
1532747796,9948,9948
